frame,t_s,tfl_c,tfl_roll_sp,tfl_pitch_sp,tfl_yaw_sp,pt_c,pt_roll_sp,pt_pitch_sp,pt_yaw_sp
124,0.39004550943396227,9.574245,0.046596587,-0.004285574,-1.5796201,9.574721,0.046572387,-0.0042696,-1.5801083
125,0.39319103773584907,9.556448,0.044492543,-0.004581243,-1.582834,9.556598,0.044498026,-0.0045645237,-1.5833145
126,0.39633656603773587,9.358892,0.041069806,-0.0026293397,-1.5854316,9.358188,0.041083366,-0.002610892,-1.5859135
127,0.3994820943396227,9.134752,0.040122658,-0.0012195408,-1.5862079,9.133814,0.04012689,-0.0011969507,-1.5866901
128,0.4026276226415095,9.142301,0.041570425,-0.001081109,-1.5865273,9.142156,0.04158631,-0.001067698,-1.5870167
129,0.4057731509433962,9.36111,0.04530558,-0.003355682,-1.585681,9.361527,0.045311123,-0.0033529103,-1.5861682
130,0.408918679245283,9.415479,0.043267846,-0.0038514137,-1.5844629,9.415717,0.043237895,-0.003846705,-1.5849458
131,0.4120642075471698,9.560182,0.041690677,-0.0042102635,-1.5849535,9.560499,0.04167074,-0.004213959,-1.5854338
132,0.4152097358490566,9.644333,0.04061258,-0.004562676,-1.5846965,9.6444025,0.04060635,-0.0045668185,-1.5851723
133,0.41835526415094343,9.542835,0.039783686,-0.0053337216,-1.5856535,9.542798,0.039777428,-0.00533697,-1.5861346
134,0.42150079245283023,9.258376,0.04394254,-0.00046941638,-1.5860431,9.259353,0.043905407,-0.0004579425,-1.5865406
135,0.424646320754717,9.28643,0.04385531,0.0015137196,-1.5832665,9.287163,0.043834,0.0015176237,-1.5837697
136,0.4277918490566038,9.120207,0.044435203,0.006287873,-1.5837684,9.120912,0.044391215,0.006298065,-1.5842692
137,0.4309373773584906,9.2128,0.03549871,0.003984034,-1.5843251,9.21425,0.035442203,0.00399369,-1.5848268
138,0.4340829056603774,9.293566,0.037481755,0.0032267272,-1.5834608,9.294496,0.037455022,0.003228575,-1.5839673
139,0.4372284339622642,9.469873,0.038674265,0.0014058053,-1.5816638,9.471231,0.038644105,0.0014090538,-1.5821606
140,0.440373962264151,9.384624,0.04246235,0.0017718971,-1.5817485,9.385346,0.042430192,0.0017574728,-1.5822293
141,0.44351949056603773,9.252789,0.04850477,0.0022336543,-1.5822206,9.253806,0.048469275,0.0022182763,-1.5827004
142,0.44666501886792453,9.24057,0.047652245,0.0026798546,-1.58252,9.241581,0.047616363,0.002667755,-1.5830084
143,0.44981054716981134,9.400535,0.038641393,0.0012924075,-1.5813007,9.401509,0.038613588,0.001280129,-1.5817889
144,0.45295607547169814,9.592136,0.031633794,-0.0020561516,-1.5797315,9.592572,0.031612575,-0.0020627677,-1.5802423
145,0.45610160377358494,9.666891,0.032961786,0.00083091855,-1.5789082,9.667674,0.032932013,0.0008304417,-1.5794164
146,0.45924713207547174,9.686851,0.034305066,0.0006220341,-1.5747302,9.687239,0.034324825,0.0006082058,-1.5752226
147,0.4623926603773585,9.788937,0.032577455,-0.006094694,-1.5732582,9.788725,0.032645434,-0.0060741603,-1.5737249
148,0.4655381886792453,9.779984,0.031832784,-0.012063175,-1.5722845,9.779549,0.031840026,-0.0120405555,-1.5727454
149,0.4686837169811321,9.3277,0.04567921,-0.0060655475,-1.5745828,9.327823,0.0456526,-0.0060268044,-1.5750426
150,0.4718292452830189,9.051704,0.04906863,0.005654663,-1.5790708,9.051139,0.048973143,0.0056861043,-1.579537
151,0.4749747735849057,8.241724,0.04933548,0.011100084,-1.5793598,8.241476,0.04924339,0.011164069,-1.5798706
152,0.4781203018867925,7.9769235,0.05354482,0.01091814,-1.5885904,7.977024,0.053411633,0.010951698,-1.5891036
153,0.48126583018867924,7.9969206,0.054111958,0.014665365,-1.5988314,7.995885,0.053962827,0.014682233,-1.599356
154,0.48441135849056605,7.872626,0.0442248,0.03250295,-1.5949488,7.870735,0.044201255,0.03250256,-1.5954756
155,0.48755688679245285,7.5469713,0.037202835,0.035853744,-1.5968053,7.5480266,0.037207127,0.0358828,-1.5972754
156,0.49070241509433965,7.136506,0.050973237,0.030971259,-1.5874741,7.1366963,0.050993234,0.030985743,-1.587902
157,0.49384794339622645,7.0693445,0.059039265,0.019934714,-1.5725284,7.070168,0.059000492,0.01992479,-1.5729603
158,0.49699347169811325,7.7572126,0.062380522,0.0070690215,-1.5721126,7.756688,0.06233564,0.007098764,-1.5726022
159,0.500139,7.802759,0.05042711,0.0056750476,-1.5551379,7.802147,0.050411552,0.0057370067,-1.5555936
160,0.5032845283018869,8.172907,0.042142242,0.008569211,-1.538965,8.170008,0.042132586,0.008625567,-1.5394078
161,0.5064300566037736,8.241615,0.07486153,0.021605998,-1.5177317,8.237573,0.074848086,0.021645516,-1.518175
162,0.5095755849056604,8.076186,0.0874306,0.027481526,-1.4991434,8.072225,0.08740541,0.027522981,-1.4996012
163,0.5127211132075472,7.5807266,0.08556181,0.043437123,-1.4873419,7.578089,0.08551684,0.043459535,-1.4877955
164,0.515866641509434,8.072333,0.113012195,0.033930272,-1.4727037,8.068347,0.11293504,0.033931464,-1.4731532
165,0.5190121698113208,7.2639384,0.1286732,0.018689811,-1.451144,7.2602367,0.12861857,0.018663645,-1.4515711
